cod_mun,municipio_residencia,regiao_saude_residencia,tratado,medicos_pmm_inicial,populacao_2014,log_populacao,taxa_icsap_pre,taxa_clinicas_pre,taxa_icsap_pos,mudanca_taxa_icsap
520160,ARACU,CENTRAL,0,0.0,3800,8.242756345714477,860.0575464295057,1098.6136541982735,644.1374888492418,-215.92005758026392
520170,ARAGARCAS,OESTE I,0,0.0,19426,9.874367653962276,252.86759744641094,317.6415632947527,171.06839762870322,-81.79919981770772
520180,ARAGOIANIA,CENTRO SUL,1,2.0,9278,9.135401285311689,757.5757575757576,1080.368906455863,356.03492533653184,-401.5408322392258
520215,ARAGUAPAZ,RIO VERMELHO,0,0.0,7795,8.961237781491876,265.5687081832218,364.38497169325785,232.55473175748932,-33.013976425732494
520235,ARENOPOLIS,OESTE I,0,0.0,3122,8.046229101075378,898.1132075471697,1271.6981132075473,654.3267838494818,-243.78642369768795
520250,ARUANA,RIO VERMELHO,0,0.0,8542,9.052750451401412,174.20515896820635,246.19076184763045,243.1134454989572,68.90828653075084
520260,AURILANDIA,OESTE II,0,0.0,3553,8.175547596021026,316.7546540705751,426.78521811614337,393.7098782052907,76.95522413471559
520280,AVELINOPOLIS,CENTRAL,0,0.0,2501,7.824445930877619,944.0894568690095,1298.7220447284344,631.9729011156642,-312.1165557533453
520310,BALIZA,OESTE I,0,0.0,4321,8.371242135931933,251.60829163688348,354.53895639742666,188.51321657553052,-63.09507506135296
520320,BARRO ALTO,SAO PATRICIO II,0,0.0,9820,9.192176401348512,179.88757026858212,237.35165521549033,274.8931976859516,95.00562741736945
520330,BELA VISTA DE GOIAS,CENTRO SUL,1,2.0,27112,10.207731713286888,604.9095413257263,810.2995270625328,581.6290562347468,-23.280485090979482
520340,BOM JARDIM DE GOIAS,OESTE I,0,0.0,8790,9.081369990679223,292.04753199268737,388.02559414990856,393.98256315307935,101.93503116039199
520350,BOM JESUS DE GOIAS,SUL,0,0.0,22872,10.037668734002148,261.0436407313492,320.2989456826371,313.125082124834,52.081441393484795
520355,BONFINOPOLIS,CENTRO SUL,0,0.0,8508,9.048762176320128,164.44284168770284,213.4871979805265,186.59659580736417,22.15375411966133
520357,BONOPOLIS,NORTE,0,0.0,3916,8.272826003650401,125.06513809275664,146.95153725898905,139.1029342788442,14.037796186087562
520360,BRAZABRANTES,CENTRAL,1,1.0,3485,8.156223323194624,219.5121951219512,268.29268292682923,168.0958259650996,-51.4163691568516
