"Número Licitação";"Código UG";"Nome UG";"Código Modalidade Compra";"Modalidade Compra";"Número Processo";"Objeto";"Situação Licitação";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"UF";"Município";"Data Resultado Compra";"Data Abertura";"Valor Licitação"
"000042021";"158198";"CENTRO DE CIENCIAS JURIDICAS E SOCIAIS/UFCG";"9999";"Pregão - Registro de Preço";"23096.011145/2021";"Objeto: Pregão Eletrônico - Aquisição de gêneros alimentícios (carnes e frios), para atender o Restaurante Universitário e Residências do CCJS/UFCG, conforme condições, quantidades e exigências estabelecidas em Edital.";"Evento de Resultado de Julgame";"26000";"Ministério da Educação";"26252";"Universidade Federal de Campina Grande";"PB";"SOUSA";"29/09/2021";"04/08/2021";"806,4000"
"000042021";"158289";"IFMA/CAMPUS ZE DOCA";"7";"Inexigibilidade de Licitação";"23249026813202155";"Objeto: Contratação de serviço de capacitação.";"Encerrado";"26000";"Ministério da Educação";"26408";"Instituto Federal de Educação, Ciência e T";"MA";"ZE DOCA";"20/09/2021";"";"2600,0000"
"000042021";"158306";"INST.FED.DO PARA/CAMPUS BELEM";"6";"Dispensa de Licitação";"23051007560202121";"Objeto: Contratação de empresa especializada em serviços com fibra óptica para substituir Caixa de Emenda Óptica (CEO) avariada, reparar e certificar os links de fibra óptica dos blocos M, N e U do Instituto Federal de Educação, Ciência e Tecnologia do Pará (IFPA) Campus Belém";"Encerrado";"26000";"Ministério da Educação";"26416";"Instituto Federal de Educação, Ciência e T";"PA";"BELEM";"16/09/2021";"";"2900,0000"
"000042021";"158314";"CAMPUS LIMOEIRO DO NORTE/IFCE";"7";"Inexigibilidade de Licitação";"23258001291202170";"Objeto: Contratação para capacitação do servidor Caio Augusto Nunes Marques, Professor EBTT, por meio do Evento 'XLI Encontro Nacional de Engenharia de Produção (ENEGEP)', realizado de forma remota em virtude da pandemia de COVID-19 entre os dias 18 e 21 de outubro de 2021, sendo organizado pela Associação Brasileira de Engenharia de Produção (ABEPRO).";"Encerrado";"26000";"Ministério da Educação";"26405";"Instituto Federal de Educação, Ciência e T";"CE";"LIMOEIRO DO NORTE";"21/09/2021";"";"450,0000"
"000042021";"158366";"INST.FED. DO RN/CAMPUS CURRAIS NOVOS";"9999";"Pregão - Registro de Preço";"23139001091202173";"Objeto: Pregão Eletrônico - Aquisição de equipamentos para laboratórios do curso de Têxtil do IFRN campus Caicó conforme condições, quantidades e exigências estabelecidas no Termo de Referência.";"Evento de Resultado de Julgame";"26000";"Ministério da Educação";"26435";"Instituto Federal de Educação, Ciência e T";"RN";"CURRAIS NOVOS";"21/09/2021";"08/09/2021";"0,00"
"000042021";"158367";"INST.FED. DO RN/CAMPUS IPANGUACU";"7";"Inexigibilidade de Licitação";"23037001051202170";"Objeto: Contratação de empresa especializada para ministrar o curso intitulado Planejamento e Gestão Estratégica de TI (EaD) (GTI28) , a ser realizado na modalidade on-line e ao vivo";"Encerrado";"26000";"Ministério da Educação";"26435";"Instituto Federal de Educação, Ciência e T";"RN";"IPANGUACU";"29/09/2021";"";"750,0000"
"000042021";"158369";"INST.FED.DO RN/CAMPUS NATAL - CENTRAL";"7";"Inexigibilidade de Licitação";"23057004207202136";"Objeto: Participação da servidora Danielle Gomes de Freitas Medeiros, Matrícula 3504729, do Campus Natal-Central do IFRN no  10º Congresso Internacional de Design da Informação  CIDI 2021 ', no período de 18/10/2021 a 22/10/2021 em formato virtual, consoante documentação apresentada nos autos (página inicial, datas importantes, inscrição, trabalhos, plenárias, trabalhos convidados e programação do evento).";"Encerrado";"26000";"Ministério da Educação";"26435";"Instituto Federal de Educação, Ciência e T";"RN";"NATAL";"10/09/2021";"";"500,0000"
"000042021";"158371";"INST.FED.DO RN/CAMPUS APODI";"7";"Inexigibilidade de Licitação";"23136001241202179";"Objeto: Contratação de empresa especializada para fornecimento de curso intitulado Como produzir doce em barra , de acesso imediato, estando disponível por três anos, conforme demanda da servidora do Campus APodi Keliane da Silva Maia, e processo 23136.001241.2021-79.";"Encerrado";"26000";"Ministério da Educação";"26435";"Instituto Federal de Educação, Ciência e T";"RN";"APODI";"24/09/2021";"";"537,0000"
"000042021";"158381";"INST.FED.DE ALAGOAS/CAMPUS MACEIO";"9999";"Pregão - Registro de Preço";"23041013024202181";"Objeto: Pregão Eletrônico - Aquisição de vidrarias-agro para o IFAL/Campus Maceió e Unidades Participantes.";"Evento de Resultado de Julgame";"26000";"Ministério da Educação";"26402";"Instituto Federal de Educação, Ciência e T";"AL";"MACEIO";"02/09/2021";"30/08/2021";"1502,4000"
"000042021";"158405";"INST. FED. DA BAHIA/CAMPUS VALENCA";"6";"Dispensa de Licitação";"23280001030202172";"Objeto: Contratação de empresa especializada em recarga e manutenção de extintores.";"Encerrado";"26000";"Ministério da Educação";"26427";"Instituto Federal de Educação, Ciência e T";"BA";"VALENCA";"28/09/2021";"";"5375,0000"
